""AgeGroup""	""Age Group Code""	""Causeofdeath""	""Cause of death Code""	""Year""	""Year Code""	""Race""	""Race Code""	""Gender""	""Gender Code""	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths"
"""55-64 years""	""55-64""	""Other""	""199.1""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	5	215296	2.3 (Unreliable)	0.8	5.4	1.0	0.0%"
"""55-64 years""	""55-64""	""Other""	""199.1""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	5	195932	2.6 (Unreliable)	0.8	6.0	1.1	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	4	205592	1.9 (Unreliable)	0.5	5.0	1.0	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	6	192081	3.1 (Unreliable)	1.1	6.8	1.3	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1971""	""1971""	""Black or African American""	""2054-5""	""Male""	""M""	1	2856	35.0 (Unreliable)	0.9	195.1	35.0	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	7	208100	3.4 (Unreliable)	1.4	6.9	1.3	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	7	193129	3.6 (Unreliable)	1.5	7.5	1.4	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	6	210489	2.9 (Unreliable)	1.0	6.2	1.2	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	18	194324	9.3 (Unreliable)	5.5	14.6	2.2	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	9	211844	4.2 (Unreliable)	1.9	8.1	1.4	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	10	194633	5.1 (Unreliable)	2.5	9.4	1.6	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1974""	""1974""	""Black or African American""	""2054-5""	""Female""	""F""	1	3457	28.9 (Unreliable)	0.7	161.2	28.9	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	7	213044	3.3 (Unreliable)	1.3	6.8	1.2	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	7	194735	3.6 (Unreliable)	1.4	7.4	1.4	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	6	215296	2.8 (Unreliable)	1.0	6.1	1.1	0.0%"
"""55-64 years""	""55-64""	""Reticulum-cell sarcoma""	""200.0""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	3	195932	1.5 (Unreliable)	0.3	4.5	0.9	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	4	205592	1.9 (Unreliable)	0.5	5.0	1.0	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	9	192081	4.7 (Unreliable)	2.1	8.9	1.6	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	15	208100	7.2 (Unreliable)	4.0	11.9	1.9	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	20	193129	10.4	6.3	16.0	2.3	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	210489	1.0 (Unreliable)	0.1	3.4	0.7	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	8	194324	4.1 (Unreliable)	1.8	8.1	1.5	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1973""	""1973""	""Black or African American""	""2054-5""	""Male""	""M""	1	3130	31.9 (Unreliable)	0.8	178.0	31.9	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	9	211844	4.2 (Unreliable)	1.9	8.1	1.4	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	12	194633	6.2 (Unreliable)	3.2	10.8	1.8	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	7	213044	3.3 (Unreliable)	1.3	6.8	1.2	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	9	194735	4.6 (Unreliable)	2.1	8.8	1.5	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1975""	""1975""	""Black or African American""	""2054-5""	""Male""	""M""	1	3361	29.8 (Unreliable)	0.8	165.8	29.8	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	8	215296	3.7 (Unreliable)	1.6	7.3	1.3	0.0%"
"""55-64 years""	""55-64""	""Lymphosarcoma""	""200.1""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	10	195932	5.1 (Unreliable)	2.4	9.4	1.6	0.0%"
"""55-64 years""	""55-64""	""Hodgkin's disease""	""201""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	4	205592	1.9 (Unreliable)	0.5	5.0	1.0	0.0%"
"""55-64 years""	""55-64""	""Hodgkin's disease""	""201""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	13	192081	6.8 (Unreliable)	3.6	11.6	1.9	0.0%"
"""55-64 years""	""55-64""	""Hodgkin's disease""	""201""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	3	208100	1.4 (Unreliable)	0.3	4.2	0.8	0.0%"
"""55-64 years""	""55-64""	""Hodgkin's disease""	""201""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	11	193129	5.7 (Unreliable)	2.8	10.2	1.7	0.0%"
"""55-64 years""	""55-64""	""Hodgkin's disease""	""201""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	210489	1.0 (Unreliable)	0.1	3.4	0.7	0.0%"
"""55-64 years""	""55-64""	""Hodgkin's disease""	""201""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	12	194324	6.2 (Unreliable)	3.2	10.8	1.8	0.0%"
"""55-64 years""	""55-64""	""Hodgkin's disease""	""201""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	7	211844	3.3 (Unreliable)	1.3	6.8	1.2	0.0%"
"""55-64 years""	""55-64""	""Hodgkin's disease""	""201""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	4	194633	2.1 (Unreliable)	0.6	5.3	1.0	0.0%"
"""55-64 years""	""55-64""	""Hodgkin's disease""	""201""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	6	213044	2.8 (Unreliable)	1.0	6.1	1.1	0.0%"
"""55-64 years""	""55-64""	""Hodgkin's disease""	""201""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	5	194735	2.6 (Unreliable)	0.8	6.0	1.1	0.0%"
"""55-64 years""	""55-64""	""Hodgkin's disease""	""201""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	3	215296	1.4 (Unreliable)	0.3	4.1	0.8	0.0%"
"""55-64 years""	""55-64""	""Hodgkin's disease""	""201""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	9	195932	4.6 (Unreliable)	2.1	8.7	1.5	0.0%"
"""55-64 years""	""55-64""	""Giant follicular lymphoma""	""202.0""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	2	193129	1.0 (Unreliable)	0.1	3.7	0.7	0.0%"
"""55-64 years""	""55-64""	""Mycosis fungoides""	""202.1""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	205592	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""55-64 years""	""55-64""	""Mycosis fungoides""	""202.1""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	192081	0.5 (Unreliable)	0.0	2.9	0.5	0.0%"
"""55-64 years""	""55-64""	""Mycosis fungoides""	""202.1""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	194633	0.5 (Unreliable)	0.0	2.9	0.5	0.0%"
"""55-64 years""	""55-64""	""Mycosis fungoides""	""202.1""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	194735	0.5 (Unreliable)	0.0	2.9	0.5	0.0%"
"""55-64 years""	""55-64""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	4	205592	1.9 (Unreliable)	0.5	5.0	1.0	0.0%"
"""55-64 years""	""55-64""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	11	192081	5.7 (Unreliable)	2.9	10.2	1.7	0.0%"
"""55-64 years""	""55-64""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	4	208100	1.9 (Unreliable)	0.5	4.9	1.0	0.0%"
"""55-64 years""	""55-64""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	7	193129	3.6 (Unreliable)	1.5	7.5	1.4	0.0%"
"""55-64 years""	""55-64""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	210489	1.0 (Unreliable)	0.1	3.4	0.7	0.0%"
"""55-64 years""	""55-64""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	12	194324	6.2 (Unreliable)	3.2	10.8	1.8	0.0%"
"""55-64 years""	""55-64""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	4	211844	1.9 (Unreliable)	0.5	4.8	0.9	0.0%"
"""55-64 years""	""55-64""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	10	194633	5.1 (Unreliable)	2.5	9.4	1.6	0.0%"
"""55-64 years""	""55-64""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1974""	""1974""	""Black or African American""	""2054-5""	""Male""	""M""	1	3271	30.6 (Unreliable)	0.8	170.3	30.6	0.0%"
"""55-64 years""	""55-64""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	9	213044	4.2 (Unreliable)	1.9	8.0	1.4	0.0%"
"""55-64 years""	""55-64""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	11	194735	5.6 (Unreliable)	2.8	10.1	1.7	0.0%"
"""55-64 years""	""55-64""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	6	215296	2.8 (Unreliable)	1.0	6.1	1.1	0.0%"
"""55-64 years""	""55-64""	""Other primary malignant neoplasms of lymphoid tissue""	""202.2""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	15	195932	7.7 (Unreliable)	4.3	12.6	2.0	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	14	205592	6.8 (Unreliable)	3.7	11.4	1.8	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	16	192081	8.3 (Unreliable)	4.8	13.5	2.1	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	8	208100	3.8 (Unreliable)	1.7	7.6	1.4	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	13	193129	6.7 (Unreliable)	3.6	11.5	1.9	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1972""	""1972""	""Black or African American""	""2054-5""	""Male""	""M""	2	3024	66.1 (Unreliable)	8.0	238.9	46.8	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	16	210489	7.6 (Unreliable)	4.3	12.3	1.9	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	12	194324	6.2 (Unreliable)	3.2	10.8	1.8	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1973""	""1973""	""Black or African American""	""2054-5""	""Female""	""F""	3	3296	91.0 (Unreliable)	18.8	266.0	52.6	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1973""	""1973""	""Black or African American""	""2054-5""	""Male""	""M""	2	3130	63.9 (Unreliable)	7.7	230.8	45.2	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	9	211844	4.2 (Unreliable)	1.9	8.1	1.4	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	14	194633	7.2 (Unreliable)	3.9	12.1	1.9	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1974""	""1974""	""Black or African American""	""2054-5""	""Female""	""F""	2	3457	57.9 (Unreliable)	7.0	209.0	40.9	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1974""	""1974""	""Black or African American""	""2054-5""	""Male""	""M""	2	3271	61.1 (Unreliable)	7.4	220.9	43.2	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	8	213044	3.8 (Unreliable)	1.6	7.4	1.3	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	13	194735	6.7 (Unreliable)	3.6	11.4	1.9	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1975""	""1975""	""Black or African American""	""2054-5""	""Female""	""F""	1	3550	28.2 (Unreliable)	0.7	156.9	28.2	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1975""	""1975""	""Black or African American""	""2054-5""	""Male""	""M""	1	3361	29.8 (Unreliable)	0.8	165.8	29.8	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1975""	""1975""	""Other Race""	""2131-1""	""Female""	""F""	1	989	101.1 (Unreliable)	2.6	563.4	101.1	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	8	215296	3.7 (Unreliable)	1.6	7.3	1.3	0.0%"
"""55-64 years""	""55-64""	""Multiple myeloma""	""203""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	9	195932	4.6 (Unreliable)	2.1	8.7	1.5	0.0%"
"""55-64 years""	""55-64""	""Acute""	""204.0""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	2	205592	1.0 (Unreliable)	0.1	3.5	0.7	0.0%"
"""55-64 years""	""55-64""	""Acute""	""204.0""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	192081	0.5 (Unreliable)	0.0	2.9	0.5	0.0%"
"""55-64 years""	""55-64""	""Acute""	""204.0""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	2	193129	1.0 (Unreliable)	0.1	3.7	0.7	0.0%"
"""55-64 years""	""55-64""	""Acute""	""204.0""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	211844	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""55-64 years""	""55-64""	""Acute""	""204.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	2	194633	1.0 (Unreliable)	0.1	3.7	0.7	0.0%"
"""55-64 years""	""55-64""	""Acute""	""204.0""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	213044	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""55-64 years""	""55-64""	""Acute""	""204.0""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	3	194735	1.5 (Unreliable)	0.3	4.5	0.9	0.0%"
"""55-64 years""	""55-64""	""Acute""	""204.0""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	215296	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""204.1""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	205592	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""204.1""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	6	192081	3.1 (Unreliable)	1.1	6.8	1.3	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""204.1""	""1971""	""1971""	""Black or African American""	""2054-5""	""Male""	""M""	1	2856	35.0 (Unreliable)	0.9	195.1	35.0	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""204.1""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	3	208100	1.4 (Unreliable)	0.3	4.2	0.8	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""204.1""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	193129	0.5 (Unreliable)	0.0	2.9	0.5	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""204.1""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	8	194324	4.1 (Unreliable)	1.8	8.1	1.5	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""204.1""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	2	211844	0.9 (Unreliable)	0.1	3.4	0.7	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""204.1""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	4	194633	2.1 (Unreliable)	0.6	5.3	1.0	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""204.1""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	3	213044	1.4 (Unreliable)	0.3	4.1	0.8	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""204.1""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	8	194735	4.1 (Unreliable)	1.8	8.1	1.5	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""204.1""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	5	215296	2.3 (Unreliable)	0.8	5.4	1.0	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""204.1""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	6	195932	3.1 (Unreliable)	1.1	6.7	1.3	0.0%"
"""55-64 years""	""55-64""	""Unspecified""	""204.9""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	205592	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""55-64 years""	""55-64""	""Unspecified""	""204.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	3	193129	1.6 (Unreliable)	0.3	4.5	0.9	0.0%"
"""55-64 years""	""55-64""	""Unspecified""	""204.9""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	4	194324	2.1 (Unreliable)	0.6	5.3	1.0	0.0%"
"""55-64 years""	""55-64""	""Unspecified""	""204.9""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	211844	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""55-64 years""	""55-64""	""Unspecified""	""204.9""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	194633	0.5 (Unreliable)	0.0	2.9	0.5	0.0%"
"""55-64 years""	""55-64""	""Unspecified""	""204.9""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	194735	0.5 (Unreliable)	0.0	2.9	0.5	0.0%"
"""55-64 years""	""55-64""	""Acute""	""205.0""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	9	205592	4.4 (Unreliable)	2.0	8.3	1.5	0.0%"
"""55-64 years""	""55-64""	""Acute""	""205.0""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	6	192081	3.1 (Unreliable)	1.1	6.8	1.3	0.0%"
"""55-64 years""	""55-64""	""Acute""	""205.0""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	5	208100	2.4 (Unreliable)	0.8	5.6	1.1	0.0%"
"""55-64 years""	""55-64""	""Acute""	""205.0""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	6	193129	3.1 (Unreliable)	1.1	6.8	1.3	0.0%"
"""55-64 years""	""55-64""	""Acute""	""205.0""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	6	210489	2.9 (Unreliable)	1.0	6.2	1.2	0.0%"
"""55-64 years""	""55-64""	""Acute""	""205.0""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	10	194324	5.1 (Unreliable)	2.5	9.5	1.6	0.0%"
"""55-64 years""	""55-64""	""Acute""	""205.0""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	4	211844	1.9 (Unreliable)	0.5	4.8	0.9	0.0%"
"""55-64 years""	""55-64""	""Acute""	""205.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	5	194633	2.6 (Unreliable)	0.8	6.0	1.1	0.0%"
"""55-64 years""	""55-64""	""Acute""	""205.0""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	5	213044	2.3 (Unreliable)	0.8	5.5	1.0	0.0%"
"""55-64 years""	""55-64""	""Acute""	""205.0""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	9	194735	4.6 (Unreliable)	2.1	8.8	1.5	0.0%"
"""55-64 years""	""55-64""	""Acute""	""205.0""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	6	215296	2.8 (Unreliable)	1.0	6.1	1.1	0.0%"
"""55-64 years""	""55-64""	""Acute""	""205.0""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	5	195932	2.6 (Unreliable)	0.8	6.0	1.1	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1970""	""1970""	""Black or African American""	""2054-5""	""Female""	""F""	1	2779	36.0 (Unreliable)	0.9	200.5	36.0	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	7	205592	3.4 (Unreliable)	1.4	7.0	1.3	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	2	192081	1.0 (Unreliable)	0.1	3.8	0.7	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	3	208100	1.4 (Unreliable)	0.3	4.2	0.8	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	5	193129	2.6 (Unreliable)	0.8	6.0	1.2	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1972""	""1972""	""Black or African American""	""2054-5""	""Female""	""F""	2	3177	63.0 (Unreliable)	7.6	227.4	44.5	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	4	210489	1.9 (Unreliable)	0.5	4.9	1.0	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	8	194324	4.1 (Unreliable)	1.8	8.1	1.5	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	3	211844	1.4 (Unreliable)	0.3	4.1	0.8	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	2	194633	1.0 (Unreliable)	0.1	3.7	0.7	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	4	213044	1.9 (Unreliable)	0.5	4.8	0.9	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	4	194735	2.1 (Unreliable)	0.6	5.3	1.0	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	5	215296	2.3 (Unreliable)	0.8	5.4	1.0	0.0%"
"""55-64 years""	""55-64""	""Chronic""	""205.1""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	2	195932	1.0 (Unreliable)	0.1	3.7	0.7	0.0%"
"""55-64 years""	""55-64""	""Unspecified""	""205.9""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	192081	0.5 (Unreliable)	0.0	2.9	0.5	0.0%"
"""55-64 years""	""55-64""	""Unspecified""	""205.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	193129	0.5 (Unreliable)	0.0	2.9	0.5	0.0%"
"""55-64 years""	""55-64""	""Unspecified""	""205.9""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	4	194324	2.1 (Unreliable)	0.6	5.3	1.0	0.0%"
"""55-64 years""	""55-64""	""Unspecified""	""205.9""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	211844	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""55-64 years""	""55-64""	""Unspecified""	""205.9""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	2	195932	1.0 (Unreliable)	0.1	3.7	0.7	0.0%"
"""55-64 years""	""55-64""	""Acute""	""206.0""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	205592	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""55-64 years""	""55-64""	""Acute""	""206.0""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	192081	0.5 (Unreliable)	0.0	2.9	0.5	0.0%"
"""55-64 years""	""55-64""	""Acute""	""206.0""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	208100	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""55-64 years""	""55-64""	""Acute""	""206.0""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	194324	1.0 (Unreliable)	0.1	3.7	0.7	0.0%"
"""55-64 years""	""55-64""	""Acute""	""206.0""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	211844	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
